cluster;id;author;volume;title;institution;venue;address;publisher;year;pages;editor;note;month;class
0;16127;"cesa-bianchi, n., y. freund, d. p. helmbold, d. haus-sler, and r. e. schapire a nd m. k. warmuth.";;"how to use expert advice.";;;"pages 382-391.";;1995.;;;;;cesa
0;16129;"n. cesa-bianchi, y. freund, d. haussler, d.p. helmbold, r.e. schapire, m. k. warmuth.";;"how to use expert advice.";;"proceedings of the 24th annual acm symposium on theory of computing (stoc).";;;1993.;;;;;cesa
0;16130;"n. cesa-bianchi, y. freund, d. haussler, d.p. helmbold, r.e. schapire, and m. k. warmuth.";;"how to use expert advice.";;"in proceedings of the 25th annual acm symposium on the theory of computing,";;;1993.;"pages 382-391,";;;;cesa
0;16131;"n. cesa-bianchi, y. freund, d. p. helmbold, d. haus-sler, r. e. schapire, and m. k. warmuth.";;"how to use expert advice.";;"in acm symp. on the theory of computing,";;;1995.;"pages 382-391,";;;;cesa
0;16133;"n. cesa-bianchi, y. freund, d.p. helmbold, d. haussler, r.e. schapire, and m.k. warmuth.";;"how to use expert advice.";;"in annual acm symposium on theory of computing,";;;1993.;"pages 382-391.";;;;cesa
0;16135;"nicolo cesa-bianchi, yoav freund, david p. helmbold, david haussler, robert e. schapire, and manfred k. warmuth.";;"how to use expert advice.";;"in proceedings of the twenty-fifth annual acm symposium on the theory of computing,";;;1993.;"pages 382-391,";;"submitted to the journal of the acm.";may;cesa
0;16136;"n. cesa-bianchi, y. freund, d. helmbold, d. haussler, r. schapire, and m. warmuth.";;"how to use expert advice.";;"in proceedings of the twenty fifth annual acm symposium on theory of computing,";"san diego, ca, may 1993.";"acm press.";;"pages 382-391,";;;;cesa
0;16139;"n. cesa-bianchi, y. freund, d. helmbold, d. haussler, r. schapire, and m.";;"war muth. how to use expert advice.";;"in proceedings of the eighteenth annual acm symposium on theory of computing,";"san diego, ca,";;1993.;"pages 382-391,";;;may;cesa
0;16140;"n. cesa-bianchi, y. freund, d. p. helmbold, d. haussler, r. e. schapire, and m. k. warmuth.";;"how to use expert advice.";;"in proc. 25th annu. acm sympos. theory comput.,";"new york, ny,";"acm press,";1993.;"pages 382-391.";;;;cesa
0;16141;"n. cesa-bianchi, y. freund, d.h. helmbold, d. haussler, r.e. schapire, and m.k. warmuth,";;"how to use expert advice,";;"in 25th annual acm symposium on theory of computing,";"san diego, ca (1993).";;;382-392,;;;;cesa
0;16144;"n. cesa-bianchi, y. freund, d.p. helmbold, d. haussler, r.e. schapire, and m.k. warmuth.";;"how to use expert advice.";;"in proceedings of the twenty-fifth annual acm symposium on the theory of computing,";;;1993.;"pages 382391,";;"to appear, journal of the association for computing machinery.";;cesa
0;16145;"nicolo cesa-bianchi, yoav freund, david p. helmbold, david haussler, robert e. schapire, and manfred k. warmuth.";;"how to use expert advice.";;"in proceedings of the twenty-fifth annual acm symposium on the theory of computing,";;;1993.;"pages 382-391,";;;;cesa
0;16146;"nicolo cesa-bianchi, yoav freund, david p. helmbold, david haussler, robert e. schapire, and manfred k. warmuth.";;"how to use expert advice.";;"in proceedings of the twenty-fifth annual acm symposium on the theory of computing,";;;1993.;"pages 382-391,";;"to appear, journal of the association for computing machinery.";;cesa
0;16147;"n. cesa-bianchi, y. freund, d.p. helmbold, d. haussler, r.e. schapire, and m.k. warmuth.";;"how to use expert advice.";;"proceedings of the 25th acm symposium on the theory of computation,";;;1993.;;;;;cesa
0;16149;"n. cesa-bianchi, y. freund, d. helmbold, d. haussler, r. schapire, and m. warmuth.";;"how to use expert advice.";;"in proceedings of the eighteenth annual acm symposium on theory of computing,";"san diego, ca,";;1993.;"pages 382-391,";;;may;cesa
0;16150;"n. cesa-bianchi, y. freund, d. p. helmbold, d. haussler, r. e. schapire, and m. k. warmuth.";;"how to use expert advice.";;"in proc. 25th symposium on the theory of computing,";"new york, ny,";"acm press,";1993.;"pages 382-391.";;;;cesa
0;16151;"nicolo cesa-bianchi, yoav freund, david p. helmbold, david haussler, robert e. schapire, and manfred k. warmuth.";;"how to use expert advice.";;"in proceedings of the 43 twenty-fifth annual acm symposium on the theory of computing,";;;1993.;"pages 382-391,";;;;cesa
0;16152;"nicolo cesa-bianchi, yoav freund, david p. helmbold, david haussler, robert e. schapire, and manfred k. warmuth.";;"how to use expert advice.";;"in proceedings of the twenty fifth annual acm symposium on theory of computing,";;;1993.;"pages 382-391,";;"references 17";may;cesa
0;16153;"n. cesa-bianchi, y. freund, d.p. helmbold, d. haussler, r.e. schapire, and m.k. warmuth.";;"how to use expert advice.";;"proceedings of the 25th acm symposium on the theory of computation,";;;1993.;;;;;cesa
0;16154;"nicolo cesa-bianchi, yoav freund, david p. helmbold, david haussler, robert e schapire, and manfred k warmuth.";;"how to use expert advice.";;"in proceedings of the twenty-fifth annual acm symposium on the theory of computing,";;;1993.;"pages 382-391,";;;;cesa
0;16155;"n. cesa-bianchi, y. freund, d. p. helmbold, d. haussler, r. e. schapire, and m. k.";;"warmuth how to use expert advice";;"proceedings of stoc93,";;;1993.;"pp. 382-391,";;;;cesa
0;16156;"n. cesa-bianchi, y. freund, d. p. helmbold, and m. warmuth.";;"on-line predic tion and conversion strategies.";;"in computational learning theory: eurocolt 93, volume new series number 53 of the institute of mathematics and its applications conference series,";"oxford, 1994.";"oxford university press.";;"pages 205-216,";;;;cesa
0;16157;"n. cesa-bianchi, y. freund, d. p. helmbold, and m. warmuth.";;"on-line prediction and conversion strategies.";;"in computational learning theory: eurocolt 93, volume new series number 53 of the institute of mathematics and its applications conference series,";"oxford, 1994.";"oxford university press.";;"pages 205-216,";;;;cesa
0;16158;"cesa-bianchi, n., freund, y., helmbold,";;"on-line prediction and conversion strategies. in proceedings of the first euro-colt workshop.";;"the institute of mathematics and its applications,";;m.k.,(1994).;;;"to appear.";;cesa;cesa
0;16159;"cesa-bianchi, n., freund, y., helmbold, d. p., and warmuth, m.";"eurocolt 93,";"on-line prediction and conversion strategies.";;"in computational learning theory:";;"oxford. oxford university press.";(1994).;"pages 205-216,";;;;cesa
0;16160;"cesa-bianchi, n., freund, y., helmbold, d. p., and warmuth, m.";"eurocolt 93,";"on-line prediction and conversion strategies.";;"in computational learning theory:";;"oxford university press.";(1994).;"pages 205-216.";;;;cesa
0;16161;"cesa-bianchi, n., y. freund, d. p. helmbold, and m. warmuth.";;"on-line prediction and conversion strategies.";;"in computational learning theory: eurocolt 93, volume new series number 53 of the institute of mathematics and its applications conference series,";;"oxford. oxford university press.";1994.;"pages 205-216,";;;;cesa
0;16162;"n. cesa-bianchi, y. freund, d. p. helmbold, and m. warmuth.";"eu-rocolt 93,";"on-line prediction and conversion strategies.";;"in computational learning theory:";"oxford, 1994.";"oxford university press.";;"pages 205-216,";;;;cesa
0;16163;"n. cesa-bianchi, y. freund, d.p. helmbold, and m. warmuth.";;"on-line prediction and conversion strategies.";;"in eurocolt,";;"clarendon press,";1993.;"pages 205-216.";;;;cesa
0;16164;"n. cesa-bianchi, y. freund, d. p. helmbold, and m. warmuth.";;"on-line prediction and conversion strategies.";;"in computational learning theory: eurocolt 93, volume new series number 53 of the institute of mathematics and its applications conference series,";"oxford, 1994.";"oxford university press.";;"pages 205-216,";;;;cesa
0;16165;"n. cesa-bianchi, y. freund, d. helmbold, and m.k. warmuth.";;"on-line prediction and conversion strategies.";;"the 1993 ima european conference on computational learning theory,";;;1993.;;;;;cesa
0;16166;"n. cesa-bianchi, y. freund, d. p. helm-bold, and m. warmuth.";;"on-line prediction and conversion strategies.";;"in computational learning theory: eurocolt 93, volume new series number 53 of the institute of mathematics and its applications confer--ence series,";"oxford, 1994.";"oxford university press.";;"pages 205-216,";;;;cesa
0;16167;"cesa-bianchi, n., freund, y., haussler, d., helmbold, d. p., schapire, r. e. & warmuth, m. k.";;"how to use expert advice,";"univ. of calif. computer research lab, santa cruz, ca.";"technical report ucsc-crl-94-33,";;;(1994),;;;"an extended abstract appeared in stoc 93.";;cesa
0;16168;"cesa-bianchi, n., freund, y., haussler, d., helmbold, d. p., schapire, r. e., and warmuth, m. k.";;"how to use expert advice,";"university of california,";"computer research laboratory. an extended abstract appeared in proceedings, 25th annual acm symposium on the theory of computing,";"new york.";"acm press,";(1994),;"pp. 382-381,";;;;cesa
0;16169;"n. cesa-bianchi, y. freund, d. haussler, d. p. helmbold, r. e. schapire, and m. k. warmuth,";;"how to use expert advice";"ucsc-crl-94-33, university of california, santa cruz,";"tech. rep.";;;1994.;;;;;cesa
0;16170;"n. cesa-bianchi, y. freund, d. p. helmbold, d. haussler, r. e. schapire, and m. k. warmuth.";;"how to use expert advice.";"univ. of calif. computer research lab,";"technical report ucsc-crl-94-33,";"santa cruz, ca,";;1994.;;;"an extended abstract appeared in stoc 93.";;cesa
0;16171;"n. cesa-bianchi, y. freund, d. haussler, d. p. helmbold, r. e. schapire, and m. k. warmuth,";;"how to use expert advice,";"ucsc-crl-94-33, university of california, santa cruz,";"tech. rep.";;;1994.;;;;;cesa
0;16172;"n. cesa-bianchi, y. freund ,d. haussler, d. p. helmbold, r. e. schapire, and m. k. warmuth.";;"how to use expert advice.";"univ. of calif. computer research lab,";"technical report ucsc-crl-94-33,";"santa cruz, ca,";;1994.;;;"an extended abstract appeared in stoc 93.";;cesa
0;16173;"n. cesa-bianchi, y. freund, d. p. helmbold, d. haussler, r. e. schapire, and m. k. war-muth.";;"how to use expert advice.";"univ. of calif. computer research lab,";"technical report ucsc-crl-94-33,";"santa cruz, ca,";;1994.;;;"an extended abstract appeared in stoc 93.";;cesa
0;16174;"n. cesa-bianchi, y. freund, d. p. helmbold, d. haussler, r. e. schapire, and m. k. warmuth.";;"how to use expert advice.";"univ. of calif. computer research lab,";"technical report ucsc-crl-94-33,";"santa cruz, ca,";;1994.;;;"an extended abstract appeared in stoc 93.";;cesa
0;16175;"n. cesa-bianchi, y. freund, d. p. helmbold, and m. k. warmuth,";"vol. 25,";"on-line prediction and conversion strategies,";;"machine learning,";;;1996.;"pp. 71-110,";;;;cesa
0;16176;"n. cesa-bianchi, y. freund, d. p. helmbold, and m. k. warmuth.";;"on--line prediction and conversion strategies.";;"machine learning,";;;1995.;;;"to appear, an extended abstract appeared in eurocolt `93.";;cesa
0;16177;"n. cesa-bianchi, y. freund,";;"d.p. helmbold, and m.k. warmuth. on-line prediction and conversion strategies.";;"machine learning,";;;1996.;;;"to appear.";;cesa
0;16178;"cesa-bianchi, n., freund, y., haussler, d., helmbold, d. p., schapire, r. e., & warmuth, m. k.";44(3);"how to use expert advice.";;"journal of the acm,";;;(1997).;427-485.;;;;cesa
0;16179;"nicolo cesa-bianchi, yoav freund, david haussler, david p. helmbold, robert e. schapire, and manfred k. warmuth.";44(3);"how to use expert advice.";;"journal of the association for computing machinery,";;;1997.;427-485,;;;may;cesa
0;16180;"nicolo cesa-bianchi, yoav freund, david haussler, david p. helmbold, robert e. schapire, and manfred k. warmuth.";44(3);"how to use expert advice.";;"journal of the association for computing machinery,";;;1997.;427-485,;;;may;cesa
0;16181;"n. cesa-bianchi, y. freund, d. haussler, d. p. helmbold, r. e. schapire, and m. k. warmuth,";"vol. 44,";"how to use expert advice,";;"journal of the acm,";;;1997.;"pp. 427-485,";;;;cesa
0;16182;"n. cesa-bianchi, y. freund, d. haussler, d. p. helmbold, r. e. schapire, and m. k. warmuth,";"vol. 44,";"how to use expert advice,";;"journal of the acm,";;;1997.;"pp. 427-485,";;;;cesa
0;16183;"william w. cohen, rob schapire, and yoram singer.";;"learning to order things.";;;;;1997.;;;"to appear in nips-97,";;cohen1998
0;16184;"william w. cohen, robert e. schapire, and yoram singer.";;"learning ro order things.";;"in advances in neural information processing systems 10,";;;1997.;;;;;cohen1998
0;16185;"william w. cohen, robert e. schapire, and yoram singer.";;"learning to order things.";;"in advances in neural information processing systems 10,";;;1998.;;;;;cohen1998
0;16186;"w. w. cohen, r. e. shapire, and y. singer.";;"learning to order things.";;"in advances in neural information processing systems 10,";;;1998.;;;;;cohen1998
0;16187;"t. g. dietterich, m. kearns, and y. mansour.";;"applying the weak learning framework to understand and improve c4.5.";;"in proceedings of the 13th international conference on machine learning,";;"morgan kaufmann,";1996.;"pages 96-104.";;;;dietterich1996
0;16188;"dietterich, t. g., kearns, m., & mansour, y.";;"applying the weak learning framework to understand and improve c4.5.";;"in proceedings of the 13th international conference on machine learning,";;"morgan kaufmann.";(1996).;"(pp. 96-104).";;;;dietterich1996
0;16189;"dietterich, t., kearns, m., & mansour, y.";;"applying the weak learning framework to understand and improve c4.5.";;"in proceedings of the thirteenth international conference on machine learning,";"bari, italy.";;(1996).;;;;;dietterich1996
0;16190;"dietterich, t., kearns, m., & mansour, y.";;"applying the weak learning framework to understand and improve c4.5.";;"proc. thirteenth intl. conf. machine learning (pp.";;;(1996).;96-104).;;;;dietterich1996
0;16191;"dietterich, t., m. kearns, and y.";;"mansour (1996). applying the weak learning framework to un-derstand and improve c4.5.";;"to appear in proceedings of the thirteenth international conference on machine learning.";"bari, italy:";"morgan kaufmann.";;;;;;dietterich1996
0;16192;"dietterich, t., m. kearns, and y.";;"mansour (1996). applying the weak learning framework to understand and improve c4.5.";;"to appear in proceedings of the thirteenth international conference on machine learning.";"bari, italy:";"morgan kaufmann.";;;;;;dietterich1996
0;16193;"t. dietterich, m. kearns, and y. mansour.";;"applying the weak learning framework to understand and improve c4.5.";;"in proceedings of the 13th international conference on machine learning,";;;1996.;"pages 96-104,";;;;dietterich1996
0;16194;"tom dietterich, michael kearns, and yishay mansour.";;"applying the weak learning framework to understand and improve c4.5.";;"in machine learning: proceedings of the thirteenth international conference,";;;1996.;;;;;dietterich1996
0;16195;"t. dietterich, m. kearns, and y. mansour.";;"applying the weak learning framework to understand and improve c4.5.";;"in machine learning: proceedings of the international conference.";;"morgan kaufmann,";1996.;;;;;dietterich1996
0;16196;"t. dietterich, m. kearns, and y. mansour.";;"applying the weak learning framework to understand and improve c4.5.";;"unpublished manuscript,";;;1996.;;;;;dietterich1996
0;16197;"h. drucker, r. schapire, and p. simard.";"volume 5,";"improving performance in neural networks using a boosting algorithm.";;"advances in neural information processing systems,";;"morgan kaufmann,";1993.;"pages 42-49.";"in steven j. hanson, jack d. cowan, and c. lee giles, editors,";;;drucker1992
0;16198;"h. drucker, r. schapire, and p. simard.";"volume 5,";"improving performance in neural networks using a boosting algorithm.";;"advances in neural information processing systems,";;"morgan kaufmann,";1993.;"pages 42-49.";"in steven j. hanson, jack d. cowan, and c. lee giles, editors,";;;drucker1992
0;16199;"drucker, h., schapire, r., & simard, p.";;"improving performance in neural networks using a boosting algorithm.";;"in advances in neural information processing systems (vol. 4).";"san francisco:";"morgan kaufmann.";(1992).;;;;;drucker1992
0;16200;"drucker, h., schapire, r., & simard, p.";;"improving performance in neural networks using a boosting algorithm.";;"advances in neural information processing systems (volume 5),";"palo alto, ca.";"morgan kaufmann.";(1992).;"(pp. 42-49),";"in hanson, j., cowan, j., & giles, c., editors,";;;drucker1992
0;16201;"drucker, h., schapire, r., & simard, p.";;"improving performance in neural networks using a boosting algorithm.";;"advances in neural information processing systems (volume 5).";"san mateo, ca.";"morgan kaufmann,";(1993).;;"in hanson, s. j., cowan, j. d., & giles, c. l., editors,";;;drucker1992
0;16202;"drucker, h., schapire, r., & simard, p.";5,;"improving the performance in neural networks using a boosting algorithm.";;"advances in neural information processing systems,";;;(1993).;42-49.,;;;drucker1992;drucker1992
0;16203;"r. & hart, p.";"volume 5,";"pattern classification and scene analysis.";;"advances in neural information processing systems,";;addison-wesley.,(1973).;;"(pp. 42-49).";"in hanson, s. j., cowan, j. d., & giles, c. l. (eds.),";"morgan kaufmann. 198 duda,";;drucker1992
0;16204;"drucker, h., schapire, r., and simard, p.";"volume 5,";"improving performance in neural networks using a boosting algorithm.";;"advances in neural information processing systems,";;"morgan kaufmann.";(1993).;"pages 42-49.";"in hanson, s. j., cowan, j. d., and giles, c. l., editors,";;;drucker1992
0;16205;"drucker, h., schapire, r., and simard, r.";;"improving performance in neural networks using a boosting algorithm.";;"advances in neural information processing systems 5,";"san mateo, ca.";"morgan kaufmann.";1993.;"pages 42-49,";"in hanson, s. j., cowan, j. d., and giles, c. l., editors,";;;drucker1992
0;16206;"drucker, harris, schapire, robert and simard";;"patrice 1993. improving performance in neural networks using a boosting algorithm.";;"in advances in neural informations processing systems 5,";"san ma-teo, ca.";"morgan kaufmann.";;42-49.,;;;drucker1992;drucker1992
0;16207;"drucker, h., schapire, r., simard, p.";;"(1993) improving performance in neural networks using a boosting algorithm,";;"in advances in neural information processing systems 5,";42-49,;"morgan kaufmann.";;;"s. j. hanson, j. cowan, l. giles (eds.),";;;drucker1992
0;16208;"drucker, schapire and simard,";;"improving performance in neural networks using a boosting algorithm,";;"advances in neural information processing systems 5,";;;1993,;"42-49. 14";;;;drucker1992
0;16209;"harris drucker, robert schapire, and patrice simard.";;"improving performance in neural networks using a boosting algorithm.";;"advances in neural information processing systems 5,";;"morgan kaufmann,";1993.;"pages 42-49.";"in steven j. hanson, jack d. cowan, and c. lee giles, editors,";;;drucker1992
0;16210;"harris drucker, robert schapire, and patrice simard.";;"improving performance in neural networks using a boosting algorithm.";;"in advances in neural information processing systems.";;"morgan kaufmann,";1992.;;;;;drucker1992
0;16211;"h. drucker, r. schapire, and p. simard,";;"improving performance in neural networks using a boosting algorithm,";;"in advances in neural information processing systems 5,";"san mateo, ca,";"morgan kaufmann.";1993,;"pp. 42-49,";"s. j. han-son, j. d. cowan, and c. l. giles, eds.,";;;drucker1992
0;16212;"drucker, h., schapire, r., simard, p.";;"(1993) improving performance in neural networks using a boosting algorithm,";;"in advances in neural information processing systems 5,";42-49,;"morgan kaufmann.";;;"s. j. hanson, j. cowan, l. giles (eds.),";;;drucker1992
0;16213;"harris drucker, robert schapire, and patrice simard.";;"improving performance in neural networks using a boosting algorithm.";;"in advances in neural information processing systems 5,";;;1993.;"pages 42-49,";;;;drucker1992
0;16214;"harris drucker, robert schapire, and patrice simard.";;"improving performance in neural networks using a boosting algorithm.";;"in advances in neural informations processing systems 5,";"san mateo, ca, 1993.";"morgan kaufmann.";;"pages 42-49,";;;;drucker1992
0;16215;"harris drucker, robert e. schapire, and ptrice simard.";;"improving performance in neural networks using a boosting algorithm.";;"in proceedings of the fifth conf. on neural informations processing systems,";"san mateo, ca, 1993.";"morgan kaufmann.";;;;;;drucker1992
0;16216;"h. drucker, r. schapire, and p. simard.";;"boosting performance in neural networks.";;"international journal of pattern recognition and artificial intelligence,";;;;;;"[to appear].";;drucker1992
0;16217;"harris drucker, robert schapire, and patrice simard.";7(4):705719;"boosting performance in neural net-works.";;"international journal of pattern recognition and artificial intelligence,";;;1993.;;;;;drucker1992
0;16218;"harris drucker, robert schapire, and patrice simard.";7(4);"boosting performance in neural networks.";;"international journal of pattern recognition and artificial intelligence,";;;1993.;705-719,;;;;drucker1992
0;16219;"drucker, h., r. schapire & p.";5,;"improving the performance in neural networks using a boosting algorithm,";;"advances in neural information processing systems,";;;(1993),;"pp. 42-49.";;;simad,drucker1992;drucker1992
0;16220;"drucker, h., schapire, r. & simard, p.";;"improving performance in neural networks using a boosting algorithm,";;"`neural information processing systems";;"morgan kauffmann,";(1993),;"pp. 42-49.";"in s. hanson, j. cowan & c. giles, eds,";;;drucker1992
0;16221;"drucker, h., schapire, r. e., & simard, p.";"7 (4),";"boosting performance in neural networks.";;"international journal of pattern recognition and artificial intelligence,";;;(1993).;705-720.,;;;drucker1992;drucker1992
0;16222;"drucker, h., schapire, r., & simard, p.";7,;"boosting performance in neural networks.";;"intl. j. pat. recog. art. intel.,";;;(1993).;705-719.,;;;drucker1992;drucker1992
0;16223;"drucker, h., schapire, r., & simard, p.";"7 (4),";"boosting performance in neural networks.";;"international journal of pattern recognition and artificial intelligence,";;;(1993a).;705-719.,;;;drucker1992;drucker1992
0;16224;"drucker, harris, schapire, robert and simard";;"patrice up . boosting performance in neural networks.";;"international journal of pattern recognition and artificial intelligence 7(4)";;;;705-719.,;;;drucker1992;drucker1992
0;16225;"h. drucker, r. schapire, and p. simard.";7(4);"boosting performance in neural networks.";;"international journal of pattern recognition and artificial intelligence,";;;1993.;705-719,;;;;drucker1992
0;16226;"harris drucker, robert schapire, and patrice simard.";4;"boosting performance in neural networks.";;"international journal of pattern recognition and artificial intelligence,";;;1993.;705-719,;;;;drucker1992
0;16227;"h. drucker, r. schapire, and p. simard,";"vol. 7, no. 4";"boosting performance in neural networks,";;"international journal of pattern recognition and artificial intelligence,";;;1993.;"pp. 705-719,";;;;drucker1992
0;16228;"harris drucker, robert schapire, and patrice simard.";"7(4):705 719,";"boosting performance in neural networks.";;"international journal of pattern recognition and artificial intelligence,";;;1993.;;;;;drucker1992
0;16229;"harris drucker, robert schapire, and patrice simard.";7(4);"boosting performance in neural networks.";;"international journal of pattern recognition and artificial intelligence,";;;1993.;705-719,;;;;drucker1992
0;16230;"h. drucker, r. schapire, and p. simard.";;"boosting performance in neural networks.";;"intl. j. pat. recog. art. intel.,";;;1993.;;;"to appear.";;drucker1992
0;16231;"harris drucker, robert schapire, and patrice simard.";7(4);"boosting performance in neural networks.";;"international journal of pattern recognition and artificial intelligence,";;;1993.;705-719,;;;;drucker1992
0;16232;"h. druker, r. schapire, p. simard,";"vol. 5,";"improving performance in neural networks using a boosting algorithm,";;"advances in neural information processing systems,";;"morgan kaufmann,";1993,;42-49.,;;;druker1992;drucker1992
0;16233;"ehrenfeucht, a., haussler, d., kearns, m. and valiant, l.";;"a general lower bound on the number of examples needed for learning.";;"in proceedings colt-88.";;;(1988).;;;;;ehrenfeucht1988
0;16234;"ehrenfeucht, a., haussler, d., kearns, m. and valiant, l.g.";;"a general lower bound on the number of examples needed for learning.";;"in proceedings of the first workshop on computational learning theory,";"boston, ma:";"morgan kaufmann.";1988.;139-154.,;;;ehrenfeucht1988;ehrenfeucht1988
0;16235;"a. ehrenfeucht, d. haussler, m. kearns, and l. valiant.";;"a general lower bound on the number of examples needed for learning.";"university of california, computer research laboratory,";"technical report ucsc-crl-87-26,";"santa cruz, ca,";;1988.;;;;jan-uary,ehrenfeucht1988;ehrenfeucht1988
0;16236;"a. ehrenfeucht, d. haussler, m. kearns, and l. valiant.";;"a general lower bound on the number of examples needed for learning.";;"in colt 88: proceedings of the conference on learning,";"los altos, ca, 1988.";morgan-kaufmann.;;"pages 110-120,";;;;ehrenfeucht1988
0;16237;"a. ehrenfeucht, d. haussler, m. kearns and l. g. valiant,";;"a general lower bound on the number of examples needed for learning,";;"in: proceedings of the first workshop on computational learning theory (morgan kaufmann,";"san mateo, ca,";;1988),;;;139-154.,ehrenfeucht1988;;ehrenfeucht1988
0;16238;"ehrenfeucht, a., haussler, d., kearns, m., and valiant, l.,";;"a general lower bound on the number of examples needed for learning,";;"proceedings of the 1988 workshop on computational learning theory,";;"morgan kaufmann,";1988,;"p. 139-154.";;;;ehrenfeucht1988
0;16239;"a. ehrenfeucht, d. haussler, m. kearns, and l. valiant.";;"a general lower bound on the number of examples needed for learning.";;"proc. of the 1988 workshop on computational learning theory,";"san jose, 1988.";"morgan kaufmann.";;;"in d. haussler and l. pitt, editors,";;;ehrenfeucht1988
