author	volume	title	institution	venue	address	publisher	year	pages	editor	note	month	class
nicolo cesabianchi, yoav freund, david p. helmbold, david haussler, robert e. schapire, and manfred k. warmuth.		how to use expert advice.		in proceedings of the 43 twentyfifth annual acm symposium on the theory of computing,			1993.	pages 382391,				cesa
nicolo cesabianchi, yoav freund, david p. helmbold, david haussler, robert e. schapire, and manfred k. warmuth.		how to use expert advice.		in proceedings of the twenty fifth annual acm symposium on theory of computing,			1993.	pages 382391,		references 17	may	cesa
n. cesabianchi, y. freund, d.p. helmbold, d. haussler, r.e. schapire, and m.k. warmuth.		how to use expert advice.		proceedings of the 25th acm symposium on the theory of computation,			1993.					cesa
nicolo cesabianchi, yoav freund, david p. helmbold, david haussler, robert e schapire, and manfred k warmuth.		how to use expert advice.		in proceedings of the twentyfifth annual acm symposium on the theory of computing,			1993.	pages 382391,				cesa
n. cesabianchi, y. freund, d. p. helmbold, d. haussler, r. e. schapire, and m. k.		warmuth how to use expert advice		proceedings of stoc93,			1993.	pp. 382391,				cesa
n. cesabianchi, y. freund, d. p. helmbold, and m. warmuth.		online predic tion and conversion strategies.		in computational learning theory eurocolt 93, volume new series number 53 of the institute of mathematics and its applications conference series,	oxford, 1994.	oxford university press.		pages 205216,				cesa
n. cesabianchi, y. freund, d. p. helmbold, and m. warmuth.		online prediction and conversion strategies.		in computational learning theory eurocolt 93, volume new series number 53 of the institute of mathematics and its applications conference series,	oxford, 1994.	oxford university press.		pages 205216,				cesa
cesabianchi, n., freund, y., helmbold,		online prediction and conversion strategies. in proceedings of the first eurocolt workshop.		the institute of mathematics and its applications,		m.k.,1994.			to appear.		cesa	
cesabianchi, n., freund, y., helmbold, d. p., and warmuth, m.	eurocolt 93,	online prediction and conversion strategies.		in computational learning theory		oxford. oxford university press.	1994.	pages 205216,				cesa
cesabianchi, n., freund, y., helmbold, d. p., and warmuth, m.	eurocolt 93,	online prediction and conversion strategies.		in computational learning theory		oxford university press.	1994.	pages 205216.				cesa
cesabianchi, n., y. freund, d. p. helmbold, and m. warmuth.		online prediction and conversion strategies.		in computational learning theory eurocolt 93, volume new series number 53 of the institute of mathematics and its applications conference series,		oxford. oxford university press.	1994.	pages 205216,				cesa
n. cesabianchi, y. freund, d. p. helmbold, and m. warmuth.	eurocolt 93,	online prediction and conversion strategies.		in computational learning theory	oxford, 1994.	oxford university press.		pages 205216,				cesa
n. cesabianchi, y. freund, d.p. helmbold, and m. warmuth.		online prediction and conversion strategies.		in eurocolt,		clarendon press,	1993.	pages 205216.				cesa
n. cesabianchi, y. freund, d. p. helmbold, and m. warmuth.		online prediction and conversion strategies.		in computational learning theory eurocolt 93, volume new series number 53 of the institute of mathematics and its applications conference series,	oxford, 1994.	oxford university press.		pages 205216,				cesa
n. cesabianchi, y. freund, d. helmbold, and m.k. warmuth.		online prediction and conversion strategies.		the 1993 ima european conference on computational learning theory,			1993.					cesa
n. cesabianchi, y. freund, d. p. helmbold, and m. warmuth.		online prediction and conversion strategies.		in computational learning theory eurocolt 93, volume new series number 53 of the institute of mathematics and its applications conference series,	oxford, 1994.	oxford university press.		pages 205216,				cesa
cesabianchi, n., freund, y., haussler, d., helmbold, d. p., schapire, r. e. & warmuth, m. k.		how to use expert advice,	univ. of calif. computer research lab, santa cruz, ca.	technical report ucsccrl9433,			1994,			an extended abstract appeared in stoc 93.		cesa
cesabianchi, n., freund, y., haussler, d., helmbold, d. p., schapire, r. e., and warmuth, m. k.		how to use expert advice,	university of california,	computer research laboratory. an extended abstract appeared in proceedings, 25th annual acm symposium on the theory of computing,	new york.	acm press,	1994,	pp. 382381,				cesa
n. cesabianchi, y. freund, d. haussler, d. p. helmbold, r. e. schapire, and m. k. warmuth,		how to use expert advice	ucsccrl9433, university of california, santa cruz,	tech. rep.			1994.					cesa
n. cesabianchi, y. freund, d. p. helmbold, d. haussler, r. e. schapire, and m. k. warmuth.		how to use expert advice.	univ. of calif. computer research lab,	technical report ucsccrl9433,	santa cruz, ca,		1994.			an extended abstract appeared in stoc 93.		cesa
n. cesabianchi, y. freund, d. haussler, d. p. helmbold, r. e. schapire, and m. k. warmuth,		how to use expert advice,	ucsccrl9433, university of california, santa cruz,	tech. rep.			1994.					cesa
n. cesabianchi, y. freund ,d. haussler, d. p. helmbold, r. e. schapire, and m. k. warmuth.		how to use expert advice.	univ. of calif. computer research lab,	technical report ucsccrl9433,	santa cruz, ca,		1994.			an extended abstract appeared in stoc 93.		cesa
n. cesabianchi, y. freund, d. p. helmbold, d. haussler, r. e. schapire, and m. k. warmuth.		how to use expert advice.	univ. of calif. computer research lab,	technical report ucsccrl9433,	santa cruz, ca,		1994.			an extended abstract appeared in stoc 93.		cesa
n. cesabianchi, y. freund, d. p. helmbold, d. haussler, r. e. schapire, and m. k. warmuth.		how to use expert advice.	univ. of calif. computer research lab,	technical report ucsccrl9433,	santa cruz, ca,		1994.			an extended abstract appeared in stoc 93.		cesa
n. cesabianchi, y. freund, d. p. helmbold, and m. k. warmuth,	vol. 25,	online prediction and conversion strategies,		machine learning,			1996.	pp. 71110,				cesa
n. cesabianchi, y. freund, d. p. helmbold, and m. k. warmuth.		online prediction and conversion strategies.		machine learning,			1995.			to appear, an extended abstract appeared in eurocolt `93.		cesa
n. cesabianchi, y. freund,		d.p. helmbold, and m.k. warmuth. online prediction and conversion strategies.		machine learning,			1996.			to appear.		cesa
cesabianchi, n., freund, y., haussler, d., helmbold, d. p., schapire, r. e., & warmuth, m. k.	443	how to use expert advice.		journal of the acm,			1997.	427485.				cesa
nicolo cesabianchi, yoav freund, david haussler, david p. helmbold, robert e. schapire, and manfred k. warmuth.	443	how to use expert advice.		journal of the association for computing machinery,			1997.	427485,			may	cesa
nicolo cesabianchi, yoav freund, david haussler, david p. helmbold, robert e. schapire, and manfred k. warmuth.	443	how to use expert advice.		journal of the association for computing machinery,			1997.	427485,			may	cesa
n. cesabianchi, y. freund, d. haussler, d. p. helmbold, r. e. schapire, and m. k. warmuth,	vol. 44,	how to use expert advice,		journal of the acm,			1997.	pp. 427485,				cesa
n. cesabianchi, y. freund, d. haussler, d. p. helmbold, r. e. schapire, and m. k. warmuth,	vol. 44,	how to use expert advice,		journal of the acm,			1997.	pp. 427485,				cesa
william w. cohen, rob schapire, and yoram singer.		learning to order things.					1997.			to appear in nips97,		cohen1998
william w. cohen, robert e. schapire, and yoram singer.		learning ro order things.		in advances in neural information processing systems 10,			1997.					cohen1998
william w. cohen, robert e. schapire, and yoram singer.		learning to order things.		in advances in neural information processing systems 10,			1998.					cohen1998
w. w. cohen, r. e. shapire, and y. singer.		learning to order things.		in advances in neural information processing systems 10,			1998.					cohen1998
t. g. dietterich, m. kearns, and y. mansour.		applying the weak learning framework to understand and improve c4.5.		in proceedings of the 13th international conference on machine learning,		morgan kaufmann,	1996.	pages 96104.				dietterich1996
dietterich, t. g., kearns, m., & mansour, y.		applying the weak learning framework to understand and improve c4.5.		in proceedings of the 13th international conference on machine learning,		morgan kaufmann.	1996.	pp. 96104.				dietterich1996
dietterich, t., kearns, m., & mansour, y.		applying the weak learning framework to understand and improve c4.5.		in proceedings of the thirteenth international conference on machine learning,	bari, italy.		1996.					dietterich1996
dietterich, t., kearns, m., & mansour, y.		applying the weak learning framework to understand and improve c4.5.		proc. thirteenth intl. conf. machine learning pp.			1996.	96104.				dietterich1996
dietterich, t., m. kearns, and y.		mansour 1996. applying the weak learning framework to understand and improve c4.5.		to appear in proceedings of the thirteenth international conference on machine learning.	bari, italy	morgan kaufmann.						dietterich1996
dietterich, t., m. kearns, and y.		mansour 1996. applying the weak learning framework to understand and improve c4.5.		to appear in proceedings of the thirteenth international conference on machine learning.	bari, italy	morgan kaufmann.						dietterich1996
t. dietterich, m. kearns, and y. mansour.		applying the weak learning framework to understand and improve c4.5.		in proceedings of the 13th international conference on machine learning,			1996.	pages 96104,				dietterich1996
tom dietterich, michael kearns, and yishay mansour.		applying the weak learning framework to understand and improve c4.5.		in machine learning proceedings of the thirteenth international conference,			1996.					dietterich1996
t. dietterich, m. kearns, and y. mansour.		applying the weak learning framework to understand and improve c4.5.		in machine learning proceedings of the international conference.		morgan kaufmann,	1996.					dietterich1996
t. dietterich, m. kearns, and y. mansour.		applying the weak learning framework to understand and improve c4.5.		unpublished manuscript,			1996.					dietterich1996
h. drucker, r. schapire, and p. simard.	volume 5,	improving performance in neural networks using a boosting algorithm.		advances in neural information processing systems,		morgan kaufmann,	1993.	pages 4249.	in steven j. hanson, jack d. cowan, and c. lee giles, editors,			drucker1992
h. drucker, r. schapire, and p. simard.	volume 5,	improving performance in neural networks using a boosting algorithm.		advances in neural information processing systems,		morgan kaufmann,	1993.	pages 4249.	in steven j. hanson, jack d. cowan, and c. lee giles, editors,			drucker1992
drucker, h., schapire, r., & simard, p.		improving performance in neural networks using a boosting algorithm.		in advances in neural information processing systems vol. 4.	san francisco	morgan kaufmann.	1992.					drucker1992
drucker, h., schapire, r., & simard, p.		improving performance in neural networks using a boosting algorithm.		advances in neural information processing systems volume 5,	palo alto, ca.	morgan kaufmann.	1992.	pp. 4249,	in hanson, j., cowan, j., & giles, c., editors,			drucker1992
drucker, h., schapire, r., & simard, p.		improving performance in neural networks using a boosting algorithm.		advances in neural information processing systems volume 5.	san mateo, ca.	morgan kaufmann,	1993.		in hanson, s. j., cowan, j. d., & giles, c. l., editors,			drucker1992
drucker, h., schapire, r., & simard, p.	5,	improving the performance in neural networks using a boosting algorithm.		advances in neural information processing systems,			1993.	4249.,			drucker1992	
r. & hart, p.	volume 5,	pattern classification and scene analysis.		advances in neural information processing systems,		addisonwesley.,1973.		pp. 4249.	in hanson, s. j., cowan, j. d., & giles, c. l. eds.,	morgan kaufmann. 198 duda,		drucker1992
drucker, h., schapire, r., and simard, p.	volume 5,	improving performance in neural networks using a boosting algorithm.		advances in neural information processing systems,		morgan kaufmann.	1993.	pages 4249.	in hanson, s. j., cowan, j. d., and giles, c. l., editors,			drucker1992
drucker, h., schapire, r., and simard, r.		improving performance in neural networks using a boosting algorithm.		advances in neural information processing systems 5,	san mateo, ca.	morgan kaufmann.	1993.	pages 4249,	in hanson, s. j., cowan, j. d., and giles, c. l., editors,			drucker1992
drucker, harris, schapire, robert and simard		patrice 1993. improving performance in neural networks using a boosting algorithm.		in advances in neural informations processing systems 5,	san mateo, ca.	morgan kaufmann.		4249.,			drucker1992	
drucker, h., schapire, r., simard, p.		1993 improving performance in neural networks using a boosting algorithm,		in advances in neural information processing systems 5,	4249,	morgan kaufmann.			s. j. hanson, j. cowan, l. giles eds.,			drucker1992
drucker, schapire and simard,		improving performance in neural networks using a boosting algorithm,		advances in neural information processing systems 5,			1993,	4249. 14				drucker1992
harris drucker, robert schapire, and patrice simard.		improving performance in neural networks using a boosting algorithm.		advances in neural information processing systems 5,		morgan kaufmann,	1993.	pages 4249.	in steven j. hanson, jack d. cowan, and c. lee giles, editors,			drucker1992
harris drucker, robert schapire, and patrice simard.		improving performance in neural networks using a boosting algorithm.		in advances in neural information processing systems.		morgan kaufmann,	1992.					drucker1992
h. drucker, r. schapire, and p. simard,		improving performance in neural networks using a boosting algorithm,		in advances in neural information processing systems 5,	san mateo, ca,	morgan kaufmann.	1993,	pp. 4249,	s. j. hanson, j. d. cowan, and c. l. giles, eds.,			drucker1992
drucker, h., schapire, r., simard, p.		1993 improving performance in neural networks using a boosting algorithm,		in advances in neural information processing systems 5,	4249,	morgan kaufmann.			s. j. hanson, j. cowan, l. giles eds.,			drucker1992
harris drucker, robert schapire, and patrice simard.		improving performance in neural networks using a boosting algorithm.		in advances in neural information processing systems 5,			1993.	pages 4249,				drucker1992
harris drucker, robert schapire, and patrice simard.		improving performance in neural networks using a boosting algorithm.		in advances in neural informations processing systems 5,	san mateo, ca, 1993.	morgan kaufmann.		pages 4249,				drucker1992
harris drucker, robert e. schapire, and ptrice simard.		improving performance in neural networks using a boosting algorithm.		in proceedings of the fifth conf. on neural informations processing systems,	san mateo, ca, 1993.	morgan kaufmann.						drucker1992
h. drucker, r. schapire, and p. simard.		boosting performance in neural networks.		international journal of pattern recognition and artificial intelligence,						to appear.		drucker1992
harris drucker, robert schapire, and patrice simard.	74705719	boosting performance in neural networks.		international journal of pattern recognition and artificial intelligence,			1993.					drucker1992
harris drucker, robert schapire, and patrice simard.	74	boosting performance in neural networks.		international journal of pattern recognition and artificial intelligence,			1993.	705719,				drucker1992
drucker, h., r. schapire & p.	5,	improving the performance in neural networks using a boosting algorithm,		advances in neural information processing systems,			1993,	pp. 4249.			simad,drucker1992	
drucker, h., schapire, r. & simard, p.		improving performance in neural networks using a boosting algorithm,		`neural information processing systems		morgan kauffmann,	1993,	pp. 4249.	in s. hanson, j. cowan & c. giles, eds,			drucker1992
drucker, h., schapire, r. e., & simard, p.	7 4,	boosting performance in neural networks.		international journal of pattern recognition and artificial intelligence,			1993.	705720.,			drucker1992	
drucker, h., schapire, r., & simard, p.	7,	boosting performance in neural networks.		intl. j. pat. recog. art. intel.,			1993.	705719.,			drucker1992	
drucker, h., schapire, r., & simard, p.	7 4,	boosting performance in neural networks.		international journal of pattern recognition and artificial intelligence,			1993a.	705719.,			drucker1992	
drucker, harris, schapire, robert and simard		patrice up . boosting performance in neural networks.		international journal of pattern recognition and artificial intelligence 74				705719.,			drucker1992	
h. drucker, r. schapire, and p. simard.	74	boosting performance in neural networks.		international journal of pattern recognition and artificial intelligence,			1993.	705719,				drucker1992
harris drucker, robert schapire, and patrice simard.	4	boosting performance in neural networks.		international journal of pattern recognition and artificial intelligence,			1993.	705719,				drucker1992
h. drucker, r. schapire, and p. simard,	vol. 7, no. 4	boosting performance in neural networks,		international journal of pattern recognition and artificial intelligence,			1993.	pp. 705719,				drucker1992
harris drucker, robert schapire, and patrice simard.	74705 719,	boosting performance in neural networks.		international journal of pattern recognition and artificial intelligence,			1993.					drucker1992
harris drucker, robert schapire, and patrice simard.	74	boosting performance in neural networks.		international journal of pattern recognition and artificial intelligence,			1993.	705719,				drucker1992
h. drucker, r. schapire, and p. simard.		boosting performance in neural networks.		intl. j. pat. recog. art. intel.,			1993.			to appear.		drucker1992
harris drucker, robert schapire, and patrice simard.	74	boosting performance in neural networks.		international journal of pattern recognition and artificial intelligence,			1993.	705719,				drucker1992
h. druker, r. schapire, p. simard,	vol. 5,	improving performance in neural networks using a boosting algorithm,		advances in neural information processing systems,		morgan kaufmann,	1993,	4249.,			druker1992	
ehrenfeucht, a., haussler, d., kearns, m. and valiant, l.		a general lower bound on the number of examples needed for learning.		in proceedings colt88.			1988.					ehrenfeucht1988
ehrenfeucht, a., haussler, d., kearns, m. and valiant, l.g.		a general lower bound on the number of examples needed for learning.		in proceedings of the first workshop on computational learning theory,	boston, ma	morgan kaufmann.	1988.	139154.,			ehrenfeucht1988	
a. ehrenfeucht, d. haussler, m. kearns, and l. valiant.		a general lower bound on the number of examples needed for learning.	university of california, computer research laboratory,	technical report ucsccrl8726,	santa cruz, ca,		1988.				january,ehrenfeucht1988	
a. ehrenfeucht, d. haussler, m. kearns, and l. valiant.		a general lower bound on the number of examples needed for learning.		in colt 88 proceedings of the conference on learning,	los altos, ca, 1988.	morgankaufmann.		pages 110120,				ehrenfeucht1988
a. ehrenfeucht, d. haussler, m. kearns and l. g. valiant,		a general lower bound on the number of examples needed for learning,		in proceedings of the first workshop on computational learning theory morgan kaufmann,	san mateo, ca,		1988,			139154.,ehrenfeucht1988		
ehrenfeucht, a., haussler, d., kearns, m., and valiant, l.,		a general lower bound on the number of examples needed for learning,		proceedings of the 1988 workshop on computational learning theory,		morgan kaufmann,	1988,	p. 139154.				ehrenfeucht1988
a. ehrenfeucht, d. haussler, m. kearns, and l. valiant.		a general lower bound on the number of examples needed for learning.		proc. of the 1988 workshop on computational learning theory,	san jose, 1988.	morgan kaufmann.			in d. haussler and l. pitt, editors,			ehrenfeucht1988
a. ehrenfeucht, d. haussler, m. kearns. l.g. valiant.		a general lower bound on the number of examples needed for learning.		33 proceedings of the 1988 workshop on computational learning theory,		morgan kaufmann publishers,	1988,	pp. 139154.				ehrenfeucht1988
a. ehrenfeucht, d. haussler, m. kearns, and l. valiant.	82	a general lower bound on the number of examples needed for learning.		information and computation,			1989.	247261,				ehrenfeucht1989
a. ehrenfeucht, d. haussler, m. kearns, and l.g. valiant.	823	a general lower bound on the number of examples needed for learning.		information and computation,			1989.	247251,				ehrenfeucht1989
a. ehrenfeucht, d. haussler, m. kearns, and l. valiant.	823	a general lower bound on the number of examples needed for learning.		information and computation,			1989.	247251,				ehrenfeucht1989
a. ehrenfeucht, d. haussler, m. kearns, and l. valiant.	823	a general lower bound on the number of examples needed for learning.		inf. and computation,			1989.	247266,				ehrenfeucht1989
a. ehrenfeucht, d. haussler, m. kearns, and l.g. valiant,	823	a general lower bound on the number of examples needed for learning.		information and computation,			1989.	247251.,			ehrenfeucht1989	
ehrenfeucht, a., haussler, d., kearns m., & valiant, l.g.	82,	a general lower bound on the number of examples needed for learning.		information and computation,			1989.	247261.,			ehrenfeucht1989	
ehrenfeucht, a., haussler, d., kearns, m. j., and valiant, l.	82	a general lower bound on the number of examples needed for learning.		information and computation,			1989.	247261.,			ehrenfeucht1989	
ehrenfeucht, a., haussler, d., kearns, m., & valiant, l. g.	82,	a general lower bound on the number of examples needed for learning.		information and computation,			1989.	247261.,			ehrenfeucht1989	
ehrenfeucht, a., haussler, d., kearns, m., & valiant, l.g.		a general lower bound on the number of examples needed for learning.		information and computation 82,			1989.	pp. 247261.				ehrenfeucht1989
ehrenfeucht, a., haussler, d., kearns, m., and valiant, l.	82	a general lower bound on the number of examples needed for learning.		information and computation,			1989.	247261.,			ehrenfeucht1989	
ehrenfeucht, a., haussler, d., kearns, m., and valiant, l.	82	a general lower bound on the number of examples needed for learning.		information and computation,			1989.	267284.,			ehrenfeucht1989	
ehrenfeucht, a., haussler, d., kearns, m., and valiant, l.		a general lower bound on the number of examples needed for learning.		information and control 82,			1989.					ehrenfeucht1989
ehrenfeucht, andrzej, haussler, david, kearns, michael and valiant,		leslie 1989. a general lower bound on the number of examples needed for learning.		information and computation 82				247261.,			ehrenfeucht1989	
