org.cud2v.graphcluster.cluster;id;author;volume;title;institution;venue;address;publisher;year;pages;editor;note;month;class
0;18484;" Carlson C LEFahln ";;" Integrated CSCW Tools Within a Shared 3D Virtual Environment";;" In Computer Supported Cooperative Work A Book of Readings ";" NY";;" 1985";" 513 ";" Ed Irene Greit";;" 1993 ";"carlson1993a "
0;18485;" Cramer N L ";;" A representation for the adaptive generation of simple sequential programs ";;" Proceedings of an International Conference on Genetic Algorithms and Their Applications ";" Hillsdale NJ ";;1985;" pages 183187 ";" In Grefenstette J editor ";;;"cramer1985a "
0;18486;" Daelemans W Van den Bosch A and Weijters T ";;" IGtree A variant of IBL submitted Available from request to antal@csrulimburgnl Fahlman ";" School of Computer Science CarnegieMellon University ";;" Pittsburgh PA ";;1995;;" S E and Lebiere C ";;;"daelemans1995a "
0;18491;" Dempster A Laird N and Rubin D ";" 39 ";" Maximum likelihood from incomplete data via the EM algorithm ";;;;;1977;" 138 ";;;;"dempster1977a "
0;18493;" M Dill and M ";;" Fahle <date>1997a</date> Limited Translation Invariance of Human Visual Pattern Recognition ";;;;;1997a;;;;;"dill1997a "
0;18494;" M Dill and M ";;" Fahle<date> 1997b</date> The Role of Visual Field Position in PatternDiscrimination Learning ";;" Proceedings of the Royal Society London B in press ";;;1997b;;;;;"dill1997b "
0;18495;" M Dill and M ";;" Fahle <date>1997b</date> The Role of Visual Field Position in PatternDiscrimination Learning ";;" Proceedings of the Royal Society London B in press ";;;1997b;;;;;"dill1997b "
0;18496;" Dutta S and Shekhar S ";" volume 2 ";" Bond rating A nonconservative application of neural networks ";"Computer and Information Sciences University of Florida ";" In International Joint Conference on Neural Networks ";;;1988;" pages 443450 ";;;;"dutta1988a "
0;18497;" M Fahle and T Poggio ";" 213 ";" Visual hyperacuity spatiotemporal interpolation in human vision ";;" Proceedings of the Royal Society of London B ";;;1981;" 451477 ";;;;"fahle1981a  "
0;18498;" Fahle M ";" 31 ";" 1991 Parallel perception of vernier offsets curvature and chevrons in humans ";;;;;;" 21492184 ";;;;"fahle1991a "
0;18499;" Fahle M W and Edelman S ";;" Learning in hyperacuity influence of stimulus range and of feedback ";;;;;1992;;;;;"fahle1992a "
0;18500;" M Fahle and S Edelman ";" 333 ";" Longterm learning in Vernier acuity effects of stimulus orientation range and of feedback ";;;;;1993;" 397412 ";;;;"fahle1993a  "
0;18501;" Fahle M & Edelman S ";" 33 ";" Longterm learning in vernier acuity Effects of stimulus orientation range and of feedback ";;;;;1993;" 397412 ";;;;"fahle1993a  "
0;18502;" Fahle M & Edelman S ";" 33 ";"<date> 1993</date> Longterm learning in vernier acuity Effects of stimulus orientation range and of feedback ";;;;;1993;" 397412 ";;;;"fahle1993a  "
0;18505;" Fahle M Edelman S and Poggio T ";" 35 ";" Fast perceptual learning in hyperacuity ";;;;;1995;" 30033013 ";;;;"fahle1995a "
0;18506;" Fahle M Edelman S & Poggio T ";" 35 ";" <date>1995</date> Fast perceptual learning in hyperacuity ";;;;;1995;" 30033013 ";;;;"fahle1995a  "
0;18507;" Fahle M ";" 3714 ";" Specificity of learning curvature orientation and vernier discriminations ";;;;;1997;" 18851895 66 ";;;;"fahle1997a  "
0;18508;" Fahle M ";" 3714 ";"<date> 1997 </date>Specificity of learning curvature orientation and vernier discriminations ";;;;;1997;" 18851895 ";;;;"fahle1997a  "
0;18513;" Lennart E Fahlen Charles Grant Brown Olov Stahl and Christer Carlsson ";;" A space based model for user interaction in shared synthetic environments ";;" In Proceedings of Interchi 93 ";;;" 1993 ";" pages 4348 ";;;" April ";"fahlen1993a  "
0;18515;" S Fahlman ";" vol 5 ";" ""A planning system for robot construction tasks"" ";;;;;1974;" pp 149 ";;;;"fahlman1974a 25 "
0;18517;" Scott Elliott Fahlman ";" 51 ";" A planning system for robot construction tasks ";;;;;1974;" 149 ";;;;"fahlman1974a 6 "
0;18519;" Fahlman SE ";" 51 ";" A Planning System for Robot Construction Tasks ";;;;;1974;" 149 ";;;;"fahlman1974a  "
0;18524;" S F Fahlman ";;" A planning system for robot construction tasks ";;" Artifical Intellignece 5pp ";;;1974;" 149 ";;;;"fahlman1974a  "
0;18525;" S E Fahlman ";" 5 ";" A planning system for robot construction tasks ";;;;;1974;" 149 ";;;;"fahlman1974a  "
0;18526;" Scott Elliott Fahlman ";" 51 ";" A planning system for robot construction tasks ";;;;;1974;" 149 ";;;;"fahlman1974a  "
0;18527;" Fahlman S E ";;" NETL A system for representing and using real world knowledge ";;;;;1979;;;;;"fahlman1979a 17 "
0;18528;" S E Fahlman ";;" NETL A System for Representing and Using Real World Knowledge ";;;" Cambridge MA ";;1979;;;;;"fahlman1979a 5 "
0;18529;" Fahlman S ";;" NETL A system for representing and using real world knowledge ";;;;;1979;;;;;"fahlman1979a "
0;18530;" Fahlman S E ";;" NETL A System for Representing and Using Real World Knowledge ";;;" Cambridge MA ";;1979;;;;;"fahlman1979a "
0;18531;" Fahlman S E ";;" NETL A System for Representing and Using Real World Knowledge ";;;" Cambridge MA ";;1979;;;;;"fahlman1979a "
0;18532;" Fahlman S E ";;" NETL A System for Representing and Using RealWorld Knowledge ";;;;;1979;;;;;"fahlman1979a "
0;18533;" Fahlman S E ";;" NETL A System for Representing and Using RealWorld Knowledge ";;;" Cambridge MA ";;1979;;;;;"fahlman1979a "
0;18534;" Fahlman S E ";;" NETL A System for Representing and Using RealWorld Knowledge ";;;" Cambridge MA ";;1979;;;;;"fahlman1979a "
0;18535;" Fahlman S E ";;" NETL A System for Representing and Using Real World Knowledge ";;;;;1979;;;;;"fahlman1979a "
0;18536;" Fahlman S E ";;" NETL A System for Representing and Using Real World Knowledge ";;;;;1979;;;;;"fahlman1979a "
0;18537;" Fahlman S E ";;" NETL A System for Representing and Using Real World Knowledge ";;;;;1979;;;;;"fahlman1979a "
0;18538;" Fahlman S E ";;" NETL A System for Representing and Using Real World Knowledge Cambridge ";;;;;1979;;;;;"fahlman1979a "
0;18539;" Fahlman S E ";;" NETL A system for representing and using real world knowledge ";;;;;1979;;;;;"fahlman1979a "
0;18540;" Fahlman SE ";;" NETL A System for Representing and Using RealWorld Knowledge ";;;" Cambridge MA ";;1979;;;;;"fahlman1979a "
0;18541;" Scott E Fahlman ";;" NETL A System for Representing and Using RealWorld Knowledge ";;;" Cambridge MA ";;1979;;;;;"fahlman1979a "
0;18542;" S E Fahlman ";;" NETL  a System for Representing and Using RealWorld Knowledge ";;;" Cambridge Mass ";;1979;;;;;"fahlman1979a  "
0;18543;" SE Fahlman ";;" NETL A system for representing realworld knowledge ";;;;;;;;;;"fahlman1979a  "
0;18544;" Scott E Fahlman ";;" A System for Representing and Using RealWorld Knowledge ";;;" Cambridge MA ";;1979;;;;;"fahlman1979a  "
0;18545;" Scott E Fahlman ";;" A System for Representing and Using RealWorld Knowledge ";;;" Cambridge MA ";;1979;;;;;"fahlman1979a  "
0;18546;" Scott E Fahlman ";;" NETL A System for Representing and Using RealWorld Knowledge ";;;" Cambridge MA ";;1979;;;;;"fahlman1979a  "
0;18547;" S Fahlman ";;" NETL A System for Representing and Using RealWorld Knowledge ";;;" Cambridge Massachusetts ";;1979;;;;;"fahlman1979a  "
0;18548;" Scott E Fahlman ";;" NETL A System for Representing Real World Knowledge ";;;;;1979;;;;;"fahlman1979a  "
0;18549;" Scott E Fahlman ";;" NETL A System for Representing and Using RealWorld Knowledge ";;;" Cambridge MA ";;1979;;;;;"fahlman1979a  "
0;18550;" S Fahlman ";;" NETL A System for Representing and Using RealWorld Knowledge ";;;" Cambridge Massachusetts ";;1979;;;;;"fahlman1979a  "
0;18551;" Scott E Fahlman ";;" NETL A System For Representing And Using RealWorld Knowledge ";;;;;1979;;;;;"fahlman1979a  "
0;18552;" Fahlman SE ";;" ""NETL A System for Representing and Using Real World Knowledge"" ";;;" Cambridge MA ";;1979;;;;;"fahlman1979a  "
0;18553;" S Fahlman ";;" NETL A System for Representing and Using RealWorld Knowledge ";;;" Massachusetts ";;1979;;;;;"fahlman1979a  "
0;18554;" S E Fahlman ";;" NETL A System for Representing and Using RealWorld Knowledge ";;;" Cambridge Ma ";;1977;;;;;"fahlman1979a  "
0;18555;" SE Fahlman ";;" NETL A System for Representing and Using Real World Knowledge ";;;" Cambridge MA ";;1979;;;;;"fahlman1979a  "
0;18556;" SE Fahlman ";;" NETL A system for representing and using realworld knowledge ";;;" Cambridge MA USA ";;1979;;;;;"fahlman1979a  "
0;18557;" S Fahlman ";;" NETL A System for Representing and Using Real World Knowledge ";;;" Cambridge MA ";;1979;;;;;"fahlman1979a  "
0;18558;" S Fahlman ";;" NETL A System for Representing and Using RealWorld Knowledge ";;;" Cambridge Massachusetts ";;1979;;;;;"fahlman1979a  "
0;18559;" Scott E Fahlman ";;" Netl A System For Representing And Using RealWorld Knowledge ";;;;;1979;;;;;"fahlman1979a  "
0;18560;" Scott E Fahlman ";;" Design sketch for a millionelement netl machine ";;" In The First Annual Conference on Artificial Intelligence AAAI ";;;" 1980 ";;;;" August ";"fahlman1980a  "
0;18561;" Fahlman S ";;" ""Representing Implicit Knowledge"" ";;" Parallel Models of Associative Memory ";" Hillsdale NJ ";;1981;;" In G Hinton and J Anderson Eds ";;;"fahlman1981a "
0;18562;" Fahlman S Touretzky D and van Roggen W ";;" Cancellation in a Parallel Semantic Network ";;" In Proc IJCAI81 ";" Menlo Park ";;;" 257263 ";;" International Joint Conferences on AI ";;"fahlman1981b  "
0;18563;" Scott E Fahlman ";" 2 ";" Extended abstract ";;" Parallel processing in artificial intelligence Parallel Computing ";;;1985;" 283286 ";;;;"fahlman1985a  "
0;18564;" Fahlman S & Hinton G ";" 20 ";" Connectionist architectures for artificial intelligence ";;;;;1987;" 100109 ";;;;"fahlman1987a "
0;18565;" Scott E Fahlman and Geoffrey E Hinton ";" 201 ";" Connectionist Architectures for Artificial Intelligence ";;;;;" 1987 ";;;;" January ";"fahlman1987a  "
0;18566;" Fahlman S and Hinton G ";" 20 ";" Connectionist Architectures for Artificial Intelligence ";;;;;1987;" 100118 ";;;;"fahlman1987a  "
0;18567;" S E Fahlman ";;" ""FasterLearning Variations on BackPropagation An Empirical Study"" ";;" Proc of the 1988 Connectionist Models Summer School ";" San Mateo CA ";;1989;" pp 3851 ";" D Touretzky G Hinton and T Sejnowski eds ";;;"fahlman1988a 15 "
0;18568;" Fahlman S ";;" Fasterlearning variations on backpropagation An empirical study ";;" Proc of the Connectionist Model Summer School ";" San Mateo CA ";;1988;;" In Touretzky D  Hinton G  and Sejnowski T  eds ";;;"fahlman1988a "
0;18569;" Fahlman S E ";;" Fasterlearning variations on backpropagation ";;" T ";;;1988;;" In G E Hinton ";;;"fahlman1988a "
0;18570;" Fahlman S E ";;" Fasterlearning variations on backpropagation an empirical study ";;" Proceedings of the 1988 Connectionist Models Summer School ";" San Mateo California ";;1989;" pp 3851 ";" In Touretzky D S Hinton G & Sejnowski T Eds ";;;"fahlman1988a "
0;18571;" Fahlman SE ";;" Faster learning variations on backpropagation An empirical study ";;" In Proc 1988 Connectionist Models Summer School ";" San Mateo CA ";;1988;;;;;"fahlman1988a "
0;18572;" Fahlman SE ";;" `Fastlearning variations on backpropagation An empirical study ";;" Proc 1988 Connectionist Models Summer School ";" San Mateo CA ";;1989;" 3851 ";" Touretzky D Hinton G Sejnowski T eds ";;;"fahlman1988a "
0;18573;" Fahlman SE ";;" FastLearning Variations on BackPropagation An Empirical Study ";;" Proceedings of the 1988 Connectionist Models Summer School ";;;1988;" pp 3851 ";;;;"fahlman1988a "
0;18574;" Fahlman SE ";;" Fastlearning variations on backpropagation an empirical study ";;" Proceedings of the 1988 Connectionist Models Summer School ";" Pittsburgh PA ";;1989;" 3851";" In D Touretzky G Hinton & T Sejnowski eds ";;;"fahlman1988a "
0;18575;" Fahlman SE ";;" Fastlearning variations on backpropagation an empirical study ";;" Proceedings of the 1988 Connectionist Models Summer School ";" Pittsburgh PA ";;1989;" 3851";" In D Touretzky G Hinton & T Sejnowski eds ";;;"fahlman1988a "
0;18576;" Fahlman SE ";;" Fastlearning variations on backpropagation an empirical study ";;" Proceedings of the 1988 Connectionist Models Summer School ";" Pittsburgh PA ";;1989;" 3851";" In D Touretzky G Hinton & T Sejnowski eds ";;;"fahlman1988a "
0;18577;" Fahlman SE ";;" Fastlearning variations on backpropagation an empirical study ";;" Proceedings of the 1988 Connectionist Models Summer School ";" Pittsburgh PA ";;1989;" 381";" In D Touretzky G Hinton & T Sejnowski eds ";;;"fahlman1988a "
0;18578;" S Fahlman ";;" Faster learning variations on backpropagation An empirical study ";;" In Procs  of the 1988 Connectionist Models Summer School ";" Pittsburgh PA ";;1988;" pages 3851 ";;;;"fahlman1988a  "
0;18579;" SE Fahlman ";;" Fastlearning variations on backpropagation An empirical study ";;" Proceedings of the 1988 Connectionist Models Summer School ";" San Mateo 1989 ";;;" pages 3851 ";" In D Touretzky G Hinton and T Sejnowski editors ";;;"fahlman1988a  "
0;18580;" S E Fahlman ";;" Fasterlearning variations on backpropagation An empirical study ";;" In Proceedings of the 1988 Connectionists Models Summer School ";;;1988;;;;;"fahlman1988a  "
0;18581;" Scott E Fahlman ";;" Faster learning variations on backpropagation An empirical study ";" Carnegie Mellon University School of Computer Science ";;;;" 1988 ";;;" 120 Bibliography ";" September ";"fahlman1988a  "
0;18582;" Fahlman S ";;" E  Fasterlearning variations of backpropagation  An empirical study ";;" Proceedings of the 1988 Connectionist Models Summer School ";" San Mateo CA ";;1988;" 3851";" In D Touretzky G E Hinton and T J Sejnowski Eds ";;;"fahlman1988a  "
0;18583;" Fahlman S ";;" E  Fasterlearning variations of backpropagation  An empirical study ";;" Proceedings of the 1988 Connectionist Models Summer School ";" San Mateo CA ";;1988;;" In D Touretzky G E Hinton and T J Sejnowski Eds ";;;"fahlman1988a  "
0;18584;" Fahlman S ";;" E  Fasterlearning variations of backpropagation  An empirical study ";;" Proceedings of the 1988 Connectionist Models Summer School ";" San Mateo CA ";;1988;;" In D Touretzky G E Hinton and T J Sejnowski Eds ";;;"fahlman1988a  "
0;18585;" Fahlman S E ";;" Fastlearning variations on backpropagation An empirical study ";;" Proceedings of the 1988 Connectionist Models Summer School ";" Pittsburgh PA ";;1989;" pages 3851 ";" In Touretzky D Hinton G and Sejnowski T editors ";;;"fahlman1988a  "
0;18586;" Fahlman S E ";;" 1988 FasterLearning Variations on BackPropagation An Empiri cal Study ";;" Proceedings of 1988 Connectionist Models Summer School ";" San Mateo CA ";;;" pp 3851 ";" Touretzky D Hinton G and Sejnowski T Eds";;;"fahlman1988a  "
0;18587;" S E Fahlman ";;" Fasterlearning variations on backpropagation An empirical study ";;" Proceedings of the 1988 Connectionist Models Summer School ";;;1988;" pages 3851 ";" In D Touretzky G E Hinton and T J Sejnowski editors ";;;"fahlman1988a  "
0;18588;" SE Fahlman ";;" Fasterlearning Variations on Backpropagation  An Empirical Study In TJ ";;" in 1988 Connectionist Models Summer School ";;;1988;;" Sejnowski GE Hinton and DS Touretzky editors ";;;"fahlman1988a  "
0;18589;" Fahlman S E ";;" Fasterlearning variations of backpropagation  An empirical study ";;" Proceedings of the 1988 Connectionist Models Summer School ";" San Mateo CA ";;1988;;" In D Touretzky G E Hinton and T J Sejnowski Eds ";;;"fahlman1988a  "
0;18590;" S Fahlmann ";;" FasterLearning Variations on BackPropagation An Empirical Study ";;" Proceedings of the 1988 Connectionist Models Summer School ";;;1988;" pp 3851 ";;;;"fahlman1988a  "
0;18591;" S Fahlmann ";;" FasterLearning Variations on BackPropagation An Empirical Study ";;" Proceedings of the 1988 Connectionist Models Summer School ";;;1988;" pp 3851 ";;;;"fahlman1988a  "
0;18592;" SE Fahlman ";;" ""Fasterlearning Variations on Backpropagation  An Empirical Study"" ";;" in  1988 Connectionist Models Summer School ";;;1988;;" TJ Sejnowski GE Hinton and DS Touretzky Eds ";;;"fahlman1988a  "
0;18593;" Fahlman S ";;" ""FasterLearning Variations on BackPropagation An Empirical Study"" In ";;" Proc of the 1988 Connectionist Models Summer School ";;;1988;;;;;"fahlman1988a  "
0;18594;" SE Fahlman ";;" Fasterlearning variations on backpropagation An empirical study ";;" In Proceedings of the 1988 Connectionist Models Summer School ";;;1988;;;;;"fahlman1988a  "
0;18595;" Scott E Fahlman ";;" ""FasterLearning Variations on BackPropagation An Empirical Study"" ";;" in Proceedings of the 1988 Connectionist Models Summer School Pittsburg 1988 ";;;;" 3851 ";;;;"fahlman1988a  "
0;18596;" S Fahlman ";;" Fasterlearning variations on backpropagation an empirical study ";;" Proceedings of the 1988 Connectionist Models Summer School ";;;1988;" pages 3851 ";" In D Touretzky G Hinton and T Sejnowsky editors ";;;"fahlman1988a  "
0;18597;" S Fahlman ";;" Fasterlearning variations on backpropagation an empirical study ";;" Proceedings of the 1988 Connectionist Models Summer School ";;;1988;" pages 3851 ";" In D Touretzky G Hinton and T Sejnowsky editors ";;;"fahlman1988a  "
0;18598;" S Fahlman ";;" Fasterlearning variations on backpropagation An empirical study ";" Carnegie Mellon ";" In Connectionist Models Summer School ";;;1988;;;;;"fahlman1988a  "
0;18599;" S E Fahlman ";;" Fasterlearning variations on backpropagation An empirical study ";;" in Proceedings of the 1988 Connectionist Models Summer School ";;;1988;;;;;"fahlman1988a  "
0;18600;" S E Fahlman ";;" Fasterlearning variations on backpropagation An empirical study ";;" in Proceedings of the 1988 Connectionist Models Summer School ";" San Mateo CA ";;1988;" pp 3851 ";" D S Touretzky G E Hinton and T J SejnowskiEds ";;;"fahlman1988a  "
0;18601;" S E Fahlman ";;" Fastlearning variations on backpropagation An empirical study ";;" Connectionist Models Summer School 1988 Proceedings ";" San Mateo CA<date> 1988</date> ";;1988;" pages 3851 ";" In D S Touretzky G E Hinton and Sejnowski editors ";;;"fahlman1988a  "
0;18602;" S E ";;" Fahlman 1988 FasterLearning Variations on BackPropagation An Empirical Study ";;" in Proceedings of the 1988 Connectionist Summer School ";;;;;;;;"fahlman1988a  "
0;18603;" S E ";;" Fahlman 1988 FasterLearning Variations on BackPropagation An Empirical Study ";;" in Proceedings of the 1988 Connectionist Models Summer School ";;;;;;;;"fahlman1988a  "
0;18604;" Fahlman SE ";;" Fast Learning Variations on Backpropagation An Empirical Study ";;" In proceedings of the 1988 Connectionist Models Summer School ";" San Mateo ";;1989;" pp 3851 ";" Eds DS Touretzky G Hinton and T ";;;"fahlman1988a  "
0;18605;" Scott Fahlman ";;" ""FasterLearning Variations on Back Propagation An Empirical Study"" ";;" In Proceedings of the 1988 Connectionist Models Summer School ";;;1988;;;;;"fahlman1988a  "
0;18606;" SE Fahlman ";;" An empirical study of learning speed in backpropagation networks ";" Carnegie Mellon University<date> 1988</date> ";;;;1988;;;;;"fahlman1988b 2 "
0;18607;" Scott E Fahlman ";;" An empirical study of learning speed in backpropagation networks ";" School of Computer Science Carnegie Mellon University ";;" Pittsburgh PA ";;" 1988 ";;;;" September ";"fahlman1988b 6 "
0;18608;" Fahlman S E ";;" An empirical study of learning speed in backpropagation networks ";" Computer Science Dept ";;" Pittsburgh PA ";;1988;;;;;"fahlman1988b "
0;18609;" Fahlman S E ";;" An empirical study of learning speed in backpropagation networks ";"Department of Computer Science CarnegieMellon University ";;"Pittsburg PA ";;1988;;;;;"fahlman1988b "
0;18610;" Fahlman S E ";;" An empirical study of learning speed in backpropagation networks ";" Carnegie Mellon University ";;;;1988;;;;;"fahlman1988b "
0;18611;" Fahlman S E ";;" An empirical study of learning speed in backpropagation networks ";" School of Computer Science Carnegie Mellon University ";;" Pittsburgh PA ";;1988;;;;;"fahlman1988b "
0;18612;" Fahlman S E ";;" An empirical study of learning speed in backpropagation networks ";" Computer Science Department Carnegie Mellon University ";;" Pittsburgh PA ";;1988;;;;;"fahlman1988b "
0;18613;" Fahlman S E ";;" An empirical study of learning speed in backpropagation networks ";" Computer Science Department Carnegie Mellon University ";;" Pittsburgh PA ";;1988;;;;;"fahlman1988b "
0;18614;" Fahlman S E ";;" An empirical study of learning speed in backpropagation networks ";" Computer Science Department Carnegie Mellon University ";;" Pittsburgh PA ";;1988;;;;;"fahlman1988b "
0;18615;" Fahlman S E ";;" An empirical study of learning speed in backpropagation networks ";" School of Computer Science Carnegie Mellon University ";;" Pittsburgh PA 15213 ";;1988;;;;;"fahlman1988b "
0;18616;" Fahlman S E ";;" An Empirical Study of Learning Speed in Backpropagation Networks ";"School of Computer Science Carnegie Mellon University";;"Pittsburgh PA ";;1988;;;;;"fahlman1988b "
0;18617;" Fahlman SE ";;" 1988 An Empirical Study of Learning Speed in BackPropagation Networks CMUCS88162 ";" Department of Computer Science Carnegie Mellon University ";;" Pittsburgh PA ";;;;;;;"fahlman1988b "
0;18618;" Fahlman SE ";;" An empirical study of learning speed in backpropagation networks ";" School of Computer Science Carnegie Mellon University ";;;;1988;;;;;"fahlman1988b "
0;18619;" Fahlman Scott ";;" An empirical study of learning speed in backpropagation networks ";" Department of Computer Science Carnegie Mellon University ";;;;1988;;;;;"fahlman1988b "
0;18620;" Fahlman Scott ";;" An empirical study of learning speed in backpropagation networks ";" Department of Computer Science Carnegie Mellon University ";;;;1988;;;;;"fahlman1988b "
0;18621;" Fahlman Scott ";;" An empirical study of learning speed in backpropagation networks ";" Department of Computer Science Carnegie Mellon University ";;;;1988;;;;;"fahlman1988b "
0;18622;" Fahlman Scott ";;" An empirical study of learning speed in backpropagation networks ";" Department of Computer Science Carnegie Mellon University ";;;;1988;;;;;"fahlman1988b "
0;18623;" S E Fahlman ";;" An empirical study of learning speed in backpropagation networks ";" Computer Science Department  CarnegieMellon ";;" Pittsburgh PA  USA ";;1988;;;;;"fahlman1988b  "
0;18624;" Fahlman SE ";;" An Empirical Study of Learning Speed in BackPropagation Networks ";;" In Proceedings of the 1988 Connectionist Models Summer School ";;;1988;;;;;"fahlman1988b  "
0;18625;" Fahlman SE ";;" An Empirical Study of Learning Speed in BackPropagation Networks ";;" In Proceedings of the 1988 Connectionist Models Summer School ";;;1988;;;;;"fahlman1988b  "
0;18626;" Scott E Fahlman ";;" An empirical strudy of learning speed in backpropagation networks ";" CMU Department of Computer Science ";;;;" 1988 ";;;;" September ";"fahlman1988b  "
0;18627;" S Fahlman ";;" An empirical study of learning speed in backpropagation networks ";" Carnegie Mellon University ";;;;1988;;;;;"fahlman1988b  "
0;18628;" S E Fahlman ";;" ""An Empirical Study of Learning Speed in Backpropagation Networks"" ";" School of Computer Science Carnegie Mellon University Pittsburgh ";;" PA ";;1988;;;;;"fahlman1988b  "
0;18629;" S E Fahlman ";;" ""An empirical study of learning speed in backpropagation networks"" ";" CMUCS88162 Computer Science Department Carnegie Mellon University Pittsburgh ";;;;" 1988 ";;;;" June ";"fahlman1988b  "
0;18630;" SE Fahlman ";;" An empirical study of learning speed in backpropagation networks ";" Carnegie Mellon University ";;;;1988;;;;;"fahlman1988b  "
0;18631;" S E Fahlman ";;" ""An Empirical Study of Learning Speed in Backpropagation Networks"" ";" School of Computer Science Carnegie Mellon University ";;" Pittsburgh USA ";;1998;;;;;"fahlman1988b  "
0;18633;" Scott E Fahlman ";;" An empirical study of learning speed in backpropagation networks ";" School of Computer Science Carnegie Mellon University ";;" Pittsburgh PA ";;" 1988 ";;;;" September ";"fahlman1988b  "
0;18634;" S E Fahlman ";;" An Empirical Study of Learning Speed in BackPropagation Networks ";" CMUCSTR88162 Carnegie Mellon University ";;;;1988;;;;;"fahlman1988b  "
0;18635;" S E Fahlman ";;" An Empirical Study of Learning Speed in BackPropagation Networks ";" CMUCSTR88162 Carnegie Mellon University ";;;;1988;;;;;"fahlman1988b  "
0;18636;" Scott E Fahlman ";;" An empirical study of learning speed in backpropagation networks ";" School of Computer Science Carnegie Mellon University ";;" Pittsburgh PA 15213 ";;" 1988 ";;;;" September ";"fahlman1988b  "
0;18637;" Scott E Fahlman ";;" An empirical study of learning speed in backpropagation networks ";" School of Computer Science Carnegie Mellon University ";;" Pittsburgh PA ";;" 1988 ";;;;" September ";"fahlman1988b  "
0;18638;" Fahlman S ";;" An Empirical Study of Learning Speed in BackPropagation Networks ";" Carnegie Mellon University ";;" Pittsburgh PA ";;" 1988 ";;;;" September ";"fahlman1988b  "
0;18639;" S E Fahlman ";;" An empirical study of learning speed in back propagation networks ";;;;;1988;;;;;"fahlman1988b  "
